"_time",ImageLoaded,count
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\msvcp_win.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\msvcrt.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\ncobjapi.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\ntdll.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\oleaut32.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\rpcrt4.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\sechost.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\sspicli.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\ucrtbase.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\user32.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\userenv.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\WmiPrvSE.exe",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\esscli.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\fastprox.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\stdprov.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\wbemprox.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\wbemsvc.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\wmiutils.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbemcomn.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\win32u.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\ws2_32.dll",1
"2017-09-19T23:44:22.000-0700","C:\Windows\System32\authz.dll",1
"2017-09-19T23:44:22.000-0700","C:\Windows\System32\samlib.dll",1
"2017-09-19T23:44:22.000-0700","C:\Windows\System32\wbem\wbemcons.dll",1
